date,xpub_address,balance_btc,num_transactions,networth_usd,first_seen,persona_name,emissions_24h_mt,emissions_365d_mt,transaction_count,supply_satoshi,share_balance,emissions_balance_t,share_tx,emissions_tx_t,share_hybrid,emissions_hybrid_t
2015-11-20 23:58:00,34933,3.058103975535168,0,1000.0,2015-01-01,The Hodler,0.039346901275620697,13.805707812862696,1087244,1484383980231182,2.0601838986829342e-07,0.008106185247110076,0.0,0.0,4.132728900757966e-09,0.00016261007605702815
2015-11-27 23:58:00,34933,3.217946629650946,1,1149.579253976504,2015-01-01,The Hodler,0.0425698507659532,15.134552869801498,1071224,1487193980231182,2.163770612594008e-07,0.009211139206988208,9.335115718094441e-07,0.039739448300218444,9.191165184120921e-07,0.03912665302532524
2015-12-04 23:58:00,34933,3.217946629650946,0,1248.5311128382705,2015-01-01,The Hodler,0.0450451946432667,15.984744699212587,1069889,1489891480231182,2.159853031142662e-07,0.009729100018867077,0.0,0.0,4.3326651804721805e-09,0.0001951657463784736
2015-12-11 23:58:00,34933,3.217946629650946,0,1405.8243440956087,2015-01-01,The Hodler,0.0467615727692743,16.83880121400883,1248549,1492688980231182,2.1558051759399755e-07,0.010080884061109534,0.0,0.0,4.324545182935591e-09,0.00020222253426585728
2015-12-18 23:58:00,34933,3.350732622599633,1,1545.6594514789847,2015-01-01,The Hodler,0.0519660407058594,17.93092613830209,1424724,1495613980231182,2.2403726274888786e-07,0.011642329515638023,7.018903310395558e-07,0.036474461513850684,6.922975795863346e-07,0.0359759642013514
2015-12-25 23:58:00,34933,3.350732622599633,0,1405.330769244512,2015-01-01,The Hodler,0.0561427060045444,20.112633491016524,1513762,1498581480231182,2.23593622822746e-07,0.012553151030628417,0.0,0.0,4.485288073824285e-09,0.00025181620967440607
2016-01-01 23:58:00,60316,15.818135767674663,11,6887.216313245549,2016-01-01,Day Trader,0.0589032584838884,20.902268388535784,1403481,1501411480231182,1.053551006899124e-06,0.06205758728534,7.837655087600046e-06,0.4616634235324685,7.701487583190309e-06,0.4536427138231158
2016-01-01 23:58:00,34933,3.350732622599633,0,1458.9089838798802,2015-01-01,The Hodler,0.0589032584838884,20.902268388535784,1403481,1501411480231182,2.231721727666355e-07,0.01314556817888413,0.0,0.0,4.476833785698708e-09,0.0002637000976684157
2016-01-08 23:58:00,34933,3.350732622599633,0,1509.1029585664228,2015-01-01,The Hodler,0.0571729401076167,21.772698391993067,1105294,1504016480231182,2.227856321151875e-07,0.012737309601759141,0.0,0.0,4.469079780230661e-09,0.0002555104306112884
2016-01-08 23:58:00,60316,19.88293508663171,11,8954.87630431719,2016-01-01,Day Trader,0.0571729401076167,21.772698391993067,1105294,1504016480231182,1.3219891768456893e-06,0.0755820080307161,9.952103241309552e-06,0.568991002560209,9.778883632143993e-06,0.5590875282199218
2016-01-15 23:58:00,34933,3.350732622599633,0,1302.4297704044773,2015-01-01,The Hodler,0.0387531976668645,16.45397510907389,1248741,1506828980231182,2.223698021845554e-07,0.008617540899199633,0.0,0.0,4.460738231822182e-09,0.00017286787043794465
2016-01-15 23:58:00,60316,28.54327154071044,14,11094.769647874147,2016-01-01,Day Trader,0.0387531976668645,16.45397510907389,1248741,1506828980231182,1.8942608560880776e-06,0.07340866538858523,1.1211292013315812e-05,0.4344734154929669,1.102428025538169e-05,0.42722611187171805
2016-01-22 23:58:00,60316,27.26142540332395,14,10563.802343788033,2016-01-01,Day Trader,0.0389150475786548,14.105345535238461,1336453,1509418980231182,1.806087359465203e-06,0.07028397552479539,1.0475489972337225e-05,0.40765419068322434,1.0301477001023289e-05,0.40088246762523944
2016-01-22 23:58:00,34933,3.350732622599633,0,1298.4088912573577,2015-01-01,The Hodler,0.0389150475786548,14.105345535238461,1336453,1509418980231182,2.2198823961299571e-07,0.00863868290644155,0.0,0.0,4.453084086636694e-09,0.0001732919791032175
2016-01-29 23:58:00,34933,3.350732622599633,0,1268.118268349057,2015-01-01,The Hodler,0.0397097526679447,14.1744829052218,1438085,1512221480231182,2.2157684349830735e-07,0.008798761652261676,0.0,0.0,4.444831480576046e-09,0.0001765031587443692
2016-01-29 23:58:00,60316,28.707791335473164,14,10864.750708823172,2016-01-01,Day Trader,0.0397097526679447,14.1744829052218,1438085,1512221480231182,1.8983853695216945e-06,0.07538441349215129,9.735168644412534e-06,0.38658113905035224,9.57786542023178e-06,0.3803346669242642
2016-02-05 23:58:00,34933,3.350732622599633,0,1257.999055828806,2015-01-01,The Hodler,0.0442511052842895,15.476985663014922,1502608,1515121480231182,2.211527370127686e-07,0.00978625304946081,0.0,0.0,4.436323904476138e-09,0.00019631223617218386
2016-02-05 23:58:00,60316,28.836849395774735,9,10826.506737149666,2016-01-01,Day Trader,0.0442511052842895,15.476985663014922,1502608,1515121480231182,1.9032697887284072e-06,0.08422179180542817,5.989586106289864e-06,0.2650458053987504,5.907554705098518e-06,0.2614158252280144
2016-02-12 23:58:00,34933,3.350732622599633,0,1310.1364554364566,2015-01-01,The Hodler,0.0490783330881997,17.107542428993433,1517839,1518251480231182,2.206968124996935e-07,0.010831431675363913,0.0,0.0,4.427178058743852e-09,0.00021727851940780008
2016-02-12 23:58:00,60316,21.28757977086823,6,8323.44369040948,2016-01-01,Day Trader,0.0490783330881997,17.107542428993433,1517839,1518251480231182,1.4021115769060078e-06,0.06881329899821398,3.952988426308719e-06,0.1940060826801777,3.901778306825438e-06,0.1914927753786907
2016-02-19 23:58:00,60316,19.580158503021927,8,8565.536138731972,2016-01-01,Day Trader,0.0553850991862164,19.230767459455954,1485746,1521183980231182,1.2871657049692459e-06,0.07128980023881783,5.384500446240474e-06,0.29822109128325514,5.302254066326111e-06,0.29366586737399086
2016-02-19 23:58:00,34933,3.350732622599633,0,1465.8114930824354,2015-01-01,The Hodler,0.0553850991862164,19.230767459455954,1485746,1521183980231182,2.202713587668998e-07,0.012199751053187402,0.0,0.0,4.41864345686401e-09,0.0002447270061269393
2016-02-26 23:58:00,60316,14.294154514978716,9,6191.084203527581,2016-01-01,Day Trader,0.05400412901743,20.239609434250962,1516284,1523776480231182,9.380742320428819e-07,0.050659881855170355,5.935563522400817e-06,0.32054493825488495,5.835254531601012e-06,0.31512783857412413
