date,xpub_address,balance_btc,num_transactions,networth_usd,first_seen,persona_name
11/20/2015 23:58:00,34933,3.058103975535168,0,1000.0,2015-01-01,The Hodler
11/27/2015 23:58:00,34933,3.217946629650946,1,1149.5792539765039,2015-01-01,The Hodler
12/4/2015 23:58:00,34933,3.217946629650946,0,1248.5311128382705,2015-01-01,The Hodler
12/11/2015 23:58:00,34933,3.217946629650946,0,1405.8243440956087,2015-01-01,The Hodler
12/18/2015 23:58:00,34933,3.350732622599633,1,1545.6594514789847,2015-01-01,The Hodler
12/25/2015 23:58:00,34933,3.350732622599633,0,1405.330769244512,2015-01-01,The Hodler
1/1/2016 23:58:00,34933,3.350732622599633,0,1458.9089838798802,2015-01-01,The Hodler
1/8/2016 23:58:00,34933,3.350732622599633,0,1509.1029585664228,2015-01-01,The Hodler
1/15/2016 23:58:00,34933,3.350732622599633,0,1302.4297704044773,2015-01-01,The Hodler
1/22/2016 23:58:00,34933,3.350732622599633,0,1298.4088912573577,2015-01-01,The Hodler
1/29/2016 23:58:00,34933,3.350732622599633,0,1268.118268349057,2015-01-01,The Hodler
2/5/2016 23:58:00,34933,3.350732622599633,0,1257.9990558288061,2015-01-01,The Hodler
2/12/2016 23:58:00,34933,3.350732622599633,0,1310.1364554364566,2015-01-01,The Hodler
2/19/2016 23:58:00,34933,3.350732622599633,0,1465.8114930824354,2015-01-01,The Hodler
2/26/2016 23:58:00,34933,3.350732622599633,0,1451.269313500353,2015-01-01,The Hodler
3/4/2016 23:58:00,34933,3.465543221330308,1,1372.6323591045084,2015-01-01,The Hodler
3/11/2016 23:58:00,34933,3.465543221330308,0,1422.8827358137978,2015-01-01,The Hodler
3/18/2016 23:58:00,34933,3.465543221330308,0,1421.5658293896925,2015-01-01,The Hodler
3/25/2016 23:58:00,34933,3.465543221330308,0,1445.0275569980986,2015-01-01,The Hodler
4/1/2016 23:58:00,34933,3.465543221330308,0,1455.3548757976628,2015-01-01,The Hodler
